File Name,Pathology_expert_1,Realism_expert_1,Composition_expert_1,Pathology_expert_2,Realism_expert_2,Composition_expert_2,prompt
one_image_of_a_patient_with_abnormal_chin_projection_and_ulnar_drift.png,0.5,3,1,0.0,3.0,3.0,One image of a patient with 'Abnormal chin projection' and 'Ulnar drift'
one_image_of_a_patient_with_abnormal_eye_protrusion_and_dorsal_hump_in_nose.png,3.0,3,3,3.0,3.0,3.0,One image of a patient with 'Abnormal eye protrusion' and 'Dorsal hump in nose'
one_image_of_a_patient_with_abnormal_pupil_size_and_asymmetric_mouth_opening.png,2.0,3,3,,,,One image of a patient with 'Abnormal pupil size' and 'Asymmetric mouth opening'
one_image_of_a_patient_with_abnormal_tilt_of_ear_and_abnormal_pupil_size.png,3.0,3,3,,,,One image of a patient with 'Abnormal tilt of ear' and 'Abnormal pupil size'
one_image_of_a_patient_with_anophthalmia_and_arm_amputation.png,3.0,3,3,3.0,3.0,3.0,One image of a patient with 'Anophthalmia' and 'Arm amputation'
one_image_of_a_patient_with_arachnodactyly_and_cleft_lip.png,3.0,3,3,3.0,3.0,3.0,One image of a patient with 'Arachnodactyly' and 'Cleft lip'
one_image_of_a_patient_with_arm_amputation_and_clinodactyly_affecting_fingers.png,1.5,3,2,,,,One image of a patient with 'Arm amputation' and 'Clinodactyly affecting fingers'
one_image_of_a_patient_with_arrhinia_and_boutonniere_deformity.png,1.5,2,3,0.5,3.0,3.0,One image of a patient with 'Arrhinia' and 'Boutonniere deformity'
one_image_of_a_patient_with_asymmetric_arm_length_and_polydactyly_affecting_fing.png,2.0,3,2,,,,One image of a patient with 'Asymmetric arm length' and 'Polydactyly affecting fingers'
one_image_of_a_patient_with_asymmetric_mouth_opening_and_frontal_bossing.png,1.5,3,3,,,,One image of a patient with 'Asymmetric mouth opening' and 'Frontal bossing'
one_image_of_a_patient_with_asymmetric_smile_and_swollen_parotid_glands.png,2.0,3,2,,,,One image of a patient with 'Asymmetric smile' and 'Swollen parotid glands'
one_image_of_a_patient_with_asymmetrical_ear_size_and_scapular_winging.png,3.0,3,3,3.0,3.0,2.0,One image of a patient with 'Asymmetrical ear size' and 'Scapular winging'
one_image_of_a_patient_with_bakers_cyst_and_mallet_finger.png,0.0,3,0,1.0,3.0,3.0,One image of a patient with 'Baker's cyst' and 'Mallet finger'
one_image_of_a_patient_with_blepharitis_and_cleft_palate.png,1.5,1,3,2.5,3.0,1.0,One image of a patient with 'Blepharitis' and 'Cleft palate'
one_image_of_a_patient_with_boutonniere_deformity_and_coloboma_affecting_the_eye.png,1.5,3,3,,,,One image of a patient with 'Boutonniere deformity' and 'Coloboma affecting the eyelid'
one_image_of_a_patient_with_brachydactyly_and_asymmetric_arm_length.png,3.0,2,2,3.0,3.0,3.0,One image of a patient with 'Brachydactyly' and 'Asymmetric arm length'
one_image_of_a_patient_with_broken_arm_closed_fracture_and_leg_amputation.png,2.0,3,3,3.0,3.0,2.0,One image of a patient with 'Broken arm (closed fracture)' and 'Leg amputation'
one_image_of_a_patient_with_broken_leg_closed_fracture_and_unilateral_drooping_e.png,0.5,3,3,2.5,1.0,3.0,One image of a patient with 'Broken leg (closed fracture)' and 'Unilateral drooping eyelid'
one_image_of_a_patient_with_bunion_and_knee_varus.png,0.0,3,3,3.0,3.0,3.0,One image of a patient with 'Bunion' and 'Knee varus'
one_image_of_a_patient_with_cauliflower_ear_and_macroglossia.png,3.0,3,3,2.5,3.0,3.0,One image of a patient with 'Cauliflower ear' and 'Macroglossia'
one_image_of_a_patient_with_cervical_lymphadenopathy_and_knee_joint_effusion.png,1.0,2,1,1.5,3.0,3.0,One image of a patient with 'Cervical lymphadenopathy' and 'Knee joint effusion'
one_image_of_a_patient_with_cleft_lip_and_pectus_excavatum_non_sexual_medical_im.png,2.0,3,3,2.0,3.0,3.0,"One image of a patient with 'Cleft lip' and 'Pectus excavatum (non-sexual, medical image of male patient)'"
one_image_of_a_patient_with_cleft_palate_and_pectus_carinatum_non_sexual_medical.png,1.0,1,1,,,,"One image of a patient with 'Cleft palate' and 'Pectus carinatum (non-sexual, medical image of male patient)'"
one_image_of_a_patient_with_clinodactyly_affecting_fingers_and_broken_arm_closed.png,1.0,2,2,,,,One image of a patient with 'Clinodactyly affecting fingers' and 'Broken arm (closed fracture)'
one_image_of_a_patient_with_coloboma_affecting_the_eyelid_and_brachydactyly.png,3.0,2,3,2.0,3.0,3.0,One image of a patient with 'Coloboma affecting the eyelid' and 'Brachydactyly'
one_image_of_a_patient_with_dental_caries_and_hypodontia.png,3.0,3,3,,,,One image of a patient with 'Dental caries' and 'Hypodontia'
one_image_of_a_patient_with_dental_tartar_and_microtia.png,1.5,3,1,3.0,0.0,1.0,One image of a patient with 'Dental tartar' and 'Microtia'
one_image_of_a_patient_with_digital_clubbing_affecting_fingers_and_foot_drop.png,1.5,3,1,3.0,3.0,3.0,One image of a patient with 'Digital clubbing affecting fingers' and 'Foot drop'
one_image_of_a_patient_with_dorsal_hump_in_nose_and_notch_in_ear.png,3.0,3,3,,,,One image of a patient with 'Dorsal hump in nose' and 'Notch in ear'
one_image_of_a_patient_with_dupuytrens_contracture_and_gum_hyperplasia.png,1.5,3,3,,,,One image of a patient with 'Dupuytren’s contracture' and 'Gum hyperplasia'
one_image_of_a_patient_with_excessively_flat_foot_arch_and_torticollis.png,1.5,3,1,,,,One image of a patient with 'Excessively flat foot arch' and 'Torticollis'
one_image_of_a_patient_with_excessively_high_foot_arch_and_hammertoe.png,3.0,3,3,3.0,3.0,3.0,One image of a patient with 'Excessively high foot arch' and 'Hammertoe'
one_image_of_a_patient_with_eyebrow_ptosis_and_sublaxation_of_patella.png,2.0,3,1,2.5,3.0,3.0,One image of a patient with 'Eyebrow ptosis' and 'Sublaxation of patella'
one_image_of_a_patient_with_foot_drop_and_eyebrow_ptosis.png,1.5,2,1,0.0,1.0,1.0,One image of a patient with 'Foot drop' and 'Eyebrow ptosis'
one_image_of_a_patient_with_frontal_bossing_and_underbite.png,3.0,2,3,,,,One image of a patient with 'Frontal bossing' and 'Underbite'
one_image_of_a_patient_with_genu_recurvatum_and_hyperlordosis.png,2.5,3,2,3.0,3.0,2.0,One image of a patient with 'Genu recurvatum' and 'Hyperlordosis'
one_image_of_a_patient_with_goiter_and_trigger_finger_tenosynovitis.png,2.0,1,2,2.5,2.0,2.0,One image of a patient with 'Goiter' and 'Trigger finger tenosynovitis'
one_image_of_a_patient_with_gout_affecting_knee_and_bunion.png,2.5,3,3,,,,One image of a patient with 'Gout affecting knee' and 'Bunion'
one_image_of_a_patient_with_gum_hyperplasia_and_digital_clubbing_affecting_finge.png,2.0,3,3,,,,One image of a patient with 'Gum hyperplasia' and 'Digital clubbing affecting fingers'
